NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
784,How often should equipment pressure relief valves be tested under API RP 7G?,Annually,Bi-annually or per operational limits,Only when a failure occurs,Monthly,B,API RP 7G-2
785,"According to API RP 7G, how should structural components exposed to repeated cyclic loads be monitored?",By performing fatigue testing at scheduled intervals,Only when a failure is suspected,Using visual inspections during regular maintenance,Through monthly load tests,A,API RP 7G-2
786,What is the recommended procedure if a drilling structure shows signs of permanent deformation under API RP 7G?,Immediately stop operations and inspect for damage,Report the condition and monitor until the next inspection,Inspect for further damage and consider repairs or replacement,Apply temporary reinforcement until the next inspection,C,API RP 7G-2
787,Which part of the drill string should be inspected during routine maintenance as per API RP 7G?,Only the drill bit,The entire drill string,Only the top drive,Only the pipe connections,B,API RP 7G-2
788,What is the maximum allowable wear on tool joints according to API RP 7G?,10% of original size,25% of original size,5% of original size,15% of original size,C,API RP 7G-2
789,What is a critical aspect when selecting an NDT inspection method for API RP 7G?,Tool weight,Material compatibility,Testing cost,Size of the tool,B,API RP 7G-2
790,How is inspector performance assessed under API RP 7G?,Through annual reports,By supervisor feedback,Based on inspection results and compliance to standards,By field experience,C,API RP 7G-2
791,What should be done if API RP 7G guidelines conflict with local regulatory requirements?,Follow the API RP 7G guidelines strictly,Follow the local regulations,Consult with an engineer to reconcile the differences,Continue operations without any modifications,C,API RP 7G-2
792,"How frequently must safety equipment, such as safety valves and blowout preventers, be tested?",Annually,Quarterly,After every use,Monthly,C,API RP 7G-2
793,How does API RP 7G address the handling of damaged or worn-out safety equipment?,Immediate replacement,Regular monitoring until failure occurs,Periodic inspections with immediate repair when needed,Temporary fixes until next inspection,C,API RP 7G-2
794,What is the purpose of performing visual inspections on critical components according to API RP 7G?,To detect hidden flaws,To identify surface defects and potential failure points,To ensure operational efficiency,To determine the remaining service life,B,API RP 7G-2
795,What action should be taken if a structural component of a rig shows excessive corrosion?,Repaint the component,Monitor the corrosion until the next inspection,Repair or replace the affected components,Ignore the corrosion until it affects performance,C,API RP 7G-2
796,How does API RP 7G recommend addressing inspection gaps when equipment shows signs of sudden failure?,Immediate inspection and corrective action,Routine checks without halting operations,Monitoring only until the next inspection,Only responding when alerted by crew members,A,API RP 7G-2
797,What is the recommended course of action if a pressure relief valve fails during testing under API RP 7G?,Continue with operations and monitor,Report the failure and replace or repair the valve,Isolate the faulty valve and continue with partial functionality,Wait until the next scheduled maintenance period,B,API RP 7G-2
798,What is the recommended inspection frequency for drilling equipment in API RP 7G?,Once a year,Before and after each operation,Monthly,Every six months,B,API RP 7G-2
799,How is the mechanical integrity of a substructure evaluated during API RP 7G inspections?,Visual inspection only,Full mechanical inspection using NDT methods,Check fluid levels and pump performance,Routine maintenance and monitoring without inspection,B,API RP 7G-2
800,Which component of the drill string is typically considered the primary load-bearing element?,Kelly,Drill Collar,Stabilizer,Float Sub,B,DS-1
801,The primary purpose of hardbanding is to:,Enhance hydraulic flow,Reduce pipe torsion,Protect tool joints from wear,Prevent corrosion,C,DS-1
802,A 'Category 3' inspection per DS-1 is best described as:,Visual only,Full-body EMI and UT wall thickness,EMI with visual thread inspection,"Full inspection including UT, EMI, and thread gauging",B,DS-1
803,What does the acronym EMI stand for in DS-1 context?,Electro-Magnetic Inspection,Energy Magnetic Induction,Electro-Metric Integration,Elastic Material Interface,A,DS-1
804,OD wear on a drill pipe typically occurs due to:,Axial compression,Rotation against borehole walls,Hydraulic surges,Improper threading,B,DS-1
805,Which of the following methods is best suited for detecting longitudinal cracks in drill pipe?,Visual inspection,Magnetic Particle Inspection (MPI),Ultrasonic testing (UT),Caliper logging,B,DS-1
806,Ultrasonic inspection is primarily used to detect:,Surface pitting,Wall thickness loss,EMI anomalies,Connection galling,B,DS-1
807,EMI can detect which of the following flaws most effectively?,Thread damage,Box-end cracks,Transverse fatigue cracks,Wall thickness reduction,C,DS-1
808,Which type of inspection is mandatory for Category 2 pipe?,Visual only,EMI only,EMI with thread inspection,Full UT and EMI,C,DS-1
809,A defect detected during EMI that is deeper than 12.5% of wall thickness typically requires:,Re-run,Record only,Downgrade,Rejection,D,DS-1
810,The DS-1 standard allows a maximum wall loss of:,10%,12.50%,15%,20%,B,DS-1
811,Tool joint shoulder damage typically results in:,Increased tensile strength,Improved sealing,Connection leakage and failure,No operational impact,C,DS-1
812,Thread galling is best addressed by:,Welding over the area,Thread chasing,Lubrication and makeup torque control,Replacing the tool joint,C,DS-1
813,Which of the following is considered a rejectable condition in the DS-1 standard?,Minor corrosion,10% wall loss,Connection pitting > 1/16” depth,Slight thread rounding,C,DS-1
814,"If EMI shows a longitudinal indication, the next step is to:",Ignore it,Record and monitor,Verify using MPI or UT,Reject immediately,C,DS-1
815,The typical recommended inspection frequency for drill pipe in high-angle wells is:,Every 500 hours,Every trip,"Every 1,500 feet drilled",After each bit change,A,DS-1
816,"During hardbanding, the 'sweet band' refers to:",The weld cap layer,The initial undercut pass,The region between tool joint and body,A protective coating over threads,C,DS-1
817,Why is recertification important after pipe repair?,Ensures heat resistance,Restores API monogram,Verifies structural integrity,Prevents insurance claims,C,DS-1
818,Heat-affected zones (HAZ) in weld repairs must be inspected because:,They are electrically conductive,They may develop micro-cracks,They are magnetic,They do not hold paint,B,DS-1
819,Tool joints are typically made from which material?,Stainless steel,Titanium alloy,Alloy steel,Cast iron,C,DS-1
820,A drill pipe fails under tension near the upset. The most likely cause is:,Buckling,Hydrogen embrittlement,Fatigue crack growth,Improper threading,C,DS-1
821,A field inspection reveals thread washout. The technician should:,Apply pipe dope and re-run,Perform thread profile gauging,Strip and re-cut threads,Reject the pipe,B,DS-1
822,"A pipe body is visually acceptable, but EMI shows inconsistent readings. This might be due to:",Operator fatigue,Internal coating,Pipe magnetization,High surface temperature,C,DS-1
823,"After string failure, reinspection shows pitting near the ID. This is likely due to:",Poor EMI calibration,H2S corrosion,Inadequate thread compound,Magnetic flux leakage,B,DS-1
824,Magnetic particle inspection requires:,Electrical conductivity,Magnetization,Surface roughness,Visual enhancement,B,DS-1
825,"If nominal wall thickness is 0.50"", and measured thickness is 0.42"", what is the % loss?",14%,16%,12%,8%,B,DS-1
826,"A pipe has an OD of 5"", and wear is measured at 0.25"". What is the percentage OD wear?",5%,10%,15%,20%,D,DS-1
827,DS-1 tolerances for thread inspection are typically within:,"±0.001""","±0.005""","±0.010""","±0.025""",C,DS-1
828,"For an EMI system with 4 sensors, a 3-sensor detection of a flaw implies:",Confirmed defect,False positive,Calibration error,Sensor misalignment,A,DS-1
829,Wall loss of 13% in Category 3 inspection leads to:,Re-run,Conditional downgrade,Rejection,Monitoring,C,DS-1
830,Thread connection box wear beyond the DS-1 tolerance is:,Permissible,Reparable,Rejectable,Unclassified,C,DS-1
831,The minimum body wall thickness for drill pipe in DS-1 is based on:,Nominal wall,Burst rating,Collapse rating,Minimum wall,D,DS-1
832,A circumferential indication during MPI typically suggests:,Transport damage,Tool joint thread issue,Fatigue from rotation,Manufacturing defect,C,DS-1
833,The makeup torque for connections is most influenced by:,Hardband width,Lubricant viscosity,Taper angle,Thread profile,B,DS-1
834,Internal plastic coatings in pipe may interfere with:,Visual inspection,EMI results,API monogram visibility,Hydraulic calculations,B,DS-1
835,A double shoulder connection is primarily used to:,Allow faster drilling,Improve torque capacity,Support circulation,Control vibration,B,DS-1
836,Magnetic saturation during EMI testing can result in:,Overestimated defects,Undetected flaws,Thread damage,Electrostatic discharge,B,DS-1
837,Thread compound is applied to reduce:,Friction,Weight,Magnetism,Fatigue,A,DS-1
838,Stabilizers in drill string assemblies are inspected under which DS-1 category by default?,Cat 1,Cat 2,Cat 3,Cat 4,D,DS-1
839,UT inspection of tool joints primarily measures:,Thread pitch,Yield stress,Wall thickness,Hardness,C,DS-1
840,A visual inspection reveals copper stains on the tool joint. This typically indicates:,Electrical burn,Thread galling,Improper storage,Bimetallic corrosion,D,DS-1
841,Hardbanding on tool joints must not exceed which of the following conditions?,Height above tool joint OD,Wear resistance value,Magnetic permeability,Color coating,A,DS-1
842,ID pitting is most reliably detected using:,Visual scope,EMI,UT probe,MPI,C,DS-1
843,Which material is most susceptible to hydrogen sulfide stress cracking?,Titanium,Carbon steel,Alloy steel,Inconel,B,DS-1
844,What is the typical demagnetization threshold after EMI inspection per DS-1?,2 Gauss,10 Gauss,50 Gauss,100 Gauss,A,DS-1
845,Excessive differential sticking may cause damage in the form of:,Rotational galling,Tool joint swelling,Longitudinal scoring,External corrosion,C,DS-1
846,The term 'rejectable' in DS-1 implies:,Rework is required,Cannot be used,Needs record keeping,Needs monitoring,B,DS-1
847,Residual magnetism affects:,EMI results,Lubricant adhesion,Thread profile,Yield strength,A,DS-1
848,API connections are gauged to check:,Make-up torque,Shoulder seal integrity,Thread profile accuracy,Thread compound type,C,DS-1
849,MPI is best suited for detecting:,ID pitting,Surface-breaking cracks,Wall thickness loss,Ovality,B,DS-1
850,What is the primary goal of drill string design according to DS-1 Volume 2?,Minimize cost,Maximize torque,Ensure integrity under expected loads,Match mud weight,C,DS-1
851,The tensile capacity of a drill pipe is most affected by:,OD wear,Pipe grade,Internal coating,Tool joint bevel angle,B,DS-1
852,Which type of buckling occurs when the pipe is in a horizontal wellbore and is compressed?,Helical,Lateral,Elastic,Torsional,A,DS-1
853,The collapse resistance of a pipe is most critical during:,Mud circulation,Tripping in,Cementing,Well control,C,DS-1
854,DS-1 recommends using a minimum safety factor of _____ for tensile loading in design.,1.15,1.25,1.5,2,C,DS-1
855,Which of the following has the greatest impact on drill string torsional strength?,Wall thickness,Tool joint OD,Pipe grade,OD wear,B,DS-1
856,"In directional wells, which force is responsible for buckling risk?",Tensile,Hydraulic,Compressive,Shear,C,DS-1
857,Which component typically experiences the highest torque in the drill string?,Drill pipe,Drill collar,Stabilizer,Float sub,B,DS-1
858,What factor is used to account for uncertainties in material properties?,Load factor,Service factor,Design factor,Safety factor,D,DS-1
859,"When calculating burst pressure, the most conservative assumption is:",Pipe is new,ID wear exists,External pressure equals zero,Wall thickness is nominal,C,DS-1
860,What is the role of a neutral point in axial loading of the drill string?,Zero torque location,Transition between tension and compression,Maximum stress point,Minimum diameter zone,B,DS-1
861,Fatigue failure in drill strings is most associated with:,Low weight,High frequency vibration,Tensile overload,Cyclic bending,D,DS-1
862,The term 'dogleg severity' impacts drill string design by:,Reducing mud weight,Increasing tension,Increasing bending stresses,Decreasing RPM,C,DS-1
863,DS-1 Volume 2 specifies that torsional yield should be evaluated using:,OD only,Shear modulus,Polar moment of inertia,Bending radius,C,DS-1
864,Which condition is most likely to cause tensile failure?,Overpull during stuck pipe event,Normal drilling,Pump cycling,WOB variation,A,DS-1
865,Buckling is more likely when:,Pipe is in tension,Dogleg severity is low,WOB is high,Compressive axial forces are present,D,DS-1
866,Which part of the drill string usually determines the maximum tensile capacity?,Pipe body,Weld line,Upset,Tool joint,D,DS-1
867,The term 'critical buckling load' refers to:,Minimum rotary speed,Max torque allowed,Axial load beyond which pipe buckles,Tensile yield point,C,DS-1
868,The BHA design should always consider:,Well depth,Drilling fluid cost,Rig availability,Dogleg severity and borehole curvature,D,DS-1
869,DS-1 advises that lateral vibration can be minimized by:,Reducing pipe grade,Shortening BHA,Adjusting RPM and WOB,Using only drill collars,C,DS-1
870,Which factor is not used in calculating torsional yield?,OD,Pipe grade,Wall thickness,Connection bevel angle,D,DS-1
871,"To calculate pipe tension capacity, one must subtract:",Collapse pressure,Tool joint length,Internal pressure,Connection stress concentration,D,DS-1
872,Design factor for collapse should be higher when:,Well is vertical,External pressure is high,Wall thickness is uniform,Pipe is in compression,B,DS-1
873,Which pipe condition will most reduce burst resistance?,High wall thickness,Corrosion pitting,Plastic coating,Low tool joint OD,B,DS-1
874,DS-1 considers which mode of failure most critical in deviated wells?,Collapse,Burst,Fatigue,Tensile,C,DS-1
875,Pipe body yield strength is determined from:,Tool joint material,API grade,Pipe ID,WOB rating,B,DS-1
876,What causes drill pipe washouts?,Plugged bit nozzles,Corrosion,Internal erosion from fluid velocity,Overpull,C,DS-1
877,"In DS-1, a safety factor of 1.5 in torsion means:",Torsional yield is 1.5x applied torque,Design is over 50% stronger,Burst pressure is low,Collapse resistance is doubled,A,DS-1
878,When is dynamic loading a key factor?,During tripping out,While rotating off-bottom,During bit bouncing,Circulating mud,C,DS-1
879,Which of these best describes the term 'von Mises stress'?,Average axial stress,Maximum radial stress,Combined 3D stress,Shear force only,C,DS-1
880,What does a high service factor indicate?,Overdesigned pipe,Pipe close to failure,Excessively heavy string,Underdimensioned BHA,B,DS-1
881,Which parameter most affects bending stiffness?,Pipe length,Young’s modulus,Tool joint thread,Pipe taper,B,DS-1
882,Tool joint OD wear impacts:,Collapse resistance,Tensile capacity,Bending radius,Torque transmission,D,DS-1
883,What does DS-1 recommend for verifying design assumptions?,Visual inspection,Field trial,Design validation and modeling,QA/QC tagging,C,DS-1
884,Tensile strength is expressed in:,ft-lb,psi,lb,lb-ft,B,DS-1
885,Fatigue cracks initiate more easily at:,Mid-body,Thread roots,Hardbanding area,OD bevel,B,DS-1
886,Connection yield should be checked especially in:,High-pressure wells,Straight boreholes,Lightweight drill pipe,Backreaming operations,D,DS-1
887,Drill string design for HPHT wells requires consideration of:,Thermal expansion,Magnetic flux,Internal dope pressure,Polymer degradation,A,DS-1
888,Reverse bending stresses occur in:,Vertical sections,Doglegs,Kickoff points,High-TVD wells,B,DS-1
889,Connection strength calculations must consider:,Pipe weight,Thread form,Dope volume,Run duration,B,DS-1
890,"As per DS-1, stress reversal leads to:",Elastic failure,Buckling,Fatigue,Torsional yield,C,DS-1
891,What is the purpose of a stress diagram?,Check flow rate,Track ROP,Visualize axial and torsional loads,Design casing shoes,C,DS-1
892,The area most susceptible to dynamic stress concentration is:,Mid-joint,Pipe upset,Thread root,Pipe ID,C,DS-1
893,What is the principal risk during reaming in doglegs?,Collapse,Tensile rupture,Fatigue damage,Over-rotation,C,DS-1
894,What design factor is recommended for burst pressure?,1,1.1,1.25,1.5,C,DS-1
895,Buckling reduces pipe:,Tensile strength,Axial stiffness,Torque strength,Effective weight on bit,D,DS-1
896,DS-1 allows reduced safety factor in burst for:,Straight wells,Offshore wells,Low-pressure zones,Shallow vertical wells,D,DS-1
897,"During high torque drilling, connections are protected by:",RTV sealant,Dope thickness,Stress relief grooves,Increased makeup torque,C,DS-1
898,"In critical wells, fatigue analysis must be:",Based on calendar days,Done quarterly,Based on rotation and load history,Skipped if pipe is new,C,DS-1
899,"To improve torsional strength, DS-1 recommends:",Thinner pipe,Longer joints,Heavier mud,Larger OD tool joints,D,DS-1
900,Which component of the BHA helps maintain the drilling trajectory by reducing lateral vibrations?,Shock sub,Reamer,Stabilizer,Bit sub,C,DS-1
901,A jar tool in the BHA is used primarily to:,Transmit WOB,Loosen stuck pipe through impact force,Control formation pressure,Increase drill bit RPM,B,DS-1
902,Which of the following is a key design advantage of non-magnetic drill collars in the BHA?,Reduced cost,Torque enhancement,Avoidance of MWD interference,Improved circulation,C,DS-1
903,Shock subs are typically placed in the BHA to mitigate:,Magnetic interference,Axial shock and vibration,Pump cavitation,Borehole instability,B,DS-1
904,Which component of the BHA is directly responsible for hole enlargement?,Reamer,Drill collar,Crossover sub,Stabilizer,A,DS-1
905,Heavyweight Drill Pipe (HWDP) is used in the BHA to:,Replace stabilizers,Enhance mud circulation,Provide gradual transition between collars and pipe,Isolate the bit hydraulics,C,DS-1
906,The placement of stabilizers in a BHA affects:,Bit wear rate,Torque transmission only,Directional control and vibration,Only WOB,C,DS-1
907,What failure mode is most associated with excessive axial vibration in the BHA?,Torsional yielding,Bit balling,Fatigue cracking,Cementing failure,C,DS-1
908,A bent housing in a mud motor is used to:,Minimize tool length,Generate hydraulic energy,Aid directional drilling,Measure downhole temperature,C,DS-1
909,The primary function of drill collars in the BHA is to:,Transmit electrical signals,Add weight on bit and stiffness,Store mud,Hold stabilizers,B,DS-1
910,Which BHA component acts like a spring to reduce bit bounce during hard rock drilling?,Shock sub,Bit box,Stabilizer,Lift sub,A,DS-1
911,"In DS-1, non-mag drill collars are inspected for:",Magnetism levels and stress cracking,Fatigue only,Density consistency,Wall thickness only,A,DS-1
912,What component is typically used in BHA to provide an emergency disconnect?,Reamer,Shock absorber,Safety joint,Wear bushing,C,DS-1
913,Torsional vibration in the BHA is commonly referred to as:,Lateral bouncing,Bit whirl,Stick-slip,Slip-loss,C,DS-1
914,Which component in the BHA is most sensitive to reverse loading due to drilling shocks?,HWDP,Bit,Stabilizer,Jar,D,DS-1
915,What property is most important in a reamer for use in abrasive formations?,Hardbanding,Elastic modulus,Float valve configuration,Mud channel width,A,DS-1
916,The term 'shock loading' in BHA design refers to:,Pipe movement due to thermal expansion,Sudden axial or torsional impact forces,Magnetic interference,Improper thread connection,B,DS-1
917,A key failure risk in jars operating at extreme depth is:,Over-torquing,Spring fatigue,Delayed actuation,Hydraulic lockup,D,DS-1
918,BHA lateral instability is most pronounced in:,Straight wells,High-angle wells with large doglegs,Wells with uniform lithology,Vertical completions,B,DS-1
919,Which of the following affects the neutral point of axial force in a BHA?,Flow rate,Bit size,Stiffness distribution and string length,Drilling fluid pH,C,DS-1
920,What feature distinguishes a 'spiral stabilizer' from a 'straight blade stabilizer'?,Material hardness,Flow rate,Blade geometry for better cuttings transport,Lug height,C,DS-1
921,Which of the following BHA components is designed to be sacrificial and absorb torsional spikes?,Lift sub,Reamer,Torque sub,Flex sub,C,DS-1
922,Shock subs reduce premature bit failure by:,Increasing RPM,Isolating vibration energy from the bit,Balancing mud pressure,Stabilizing casing shoe,B,DS-1
923,What condition often leads to premature jar misfiring?,Low mud viscosity,Gas cutting,Incorrect hydraulic fluid or pressure,Bit balling,C,DS-1
924,Which of the following can lead to excessive wear on stabilizer blades?,Low dogleg severity,Straight hole trajectory,Frequent reaming in abrasive zones,Small WOB,C,DS-1
925,Why are float subs used in the BHA?,Reduce mud contamination,Prevent backflow when pumps are off,Support bit hydraulics,Provide stiffness,B,DS-1
926,Which BHA failure is best diagnosed by downhole vibration log analysis?,Thread galling,Stick-slip vibration,Mud motor washout,Bit plug,B,DS-1
927,The primary cause of fatigue in BHA tools is:,Axial overpull,High-pressure surges,Cyclic bending in doglegs,Pump cavitation,C,DS-1
928,Magnetic interference from BHA components can negatively affect:,Torque control,Directional steering,MWD tool accuracy,WOB distribution,C,DS-1
929,What’s a typical placement rule for stabilizers in directional BHAs?,Place all above the HWDP,One below and one above the motor,None required,Only at surface,B,DS-1
930,Which BHA tool is designed specifically to handle both shock and torque mitigation?,Lift sub,Bit box,Dual-acting torsional shock sub,Borehole centralizer,C,DS-1
931,Stabilizer wear pads are often built using:,Copper cladding,Polymer coating,Hardfacing materials,PTFE inserts,C,DS-1
932,DS-1 Volume 3 classifies BHA inspection categories primarily by:,Pressure loss,Cost,Criticality of service and exposure,Rotation speed,C,DS-1
933,A whipstock assembly is used to:,Create a washout,Enhance torque,Initiate a sidetrack,Anchor casing,C,DS-1
934,Which failure mode in a BHA motor is linked to fluid erosion?,Bit washout,Stator burn,Helical distortion,Shoe collapse,B,DS-1
935,Excessive torsional load in the BHA most directly leads to:,Bit nozzle plugging,Whirl,Twist-off failures,Corrosion,C,DS-1
936,What component in a BHA improves downhole toolface control?,MWD sub,Stabilizer,Bent housing motor,Lift sub,C,DS-1
937,Bit bounce is typically a result of:,Low WOB,Axial resonance,Motor overspeed,Casing vibration,B,DS-1
938,Threaded connections in BHA components are most vulnerable to:,Erosion,Overpull,Back-off due to vibration,Differential sticking,C,DS-1
939,A float valve is placed in the BHA to:,Limit pressure losses,Support annular cuttings,Prevent backflow into drill string,Optimize WOB,C,DS-1
940,Mud motor torque output depends on:,Bit type,Rotor-stator configuration and flow rate,Annular velocity,Dogleg angle,B,DS-1
941,Dogleg severity exceeding motor ratings can cause:,Cement bond failure,Motor housing burst,Stator rubber extrusion,Liner collapse,C,DS-1
942,BHA pack-off risk increases with:,Cooler mud,Low ROP,Poor hole cleaning in deviated wells,Thread lubricant type,C,DS-1
943,Downhole jars fail to fire properly due to:,Insufficient WOB,Cold drilling fluids,Trapped air bubbles,Improper hydraulic balance,D,DS-1
944,A crossover sub is primarily used to:,Convert connection sizes/types,Act as float chamber,Balance pressure,Add stiffness,A,DS-1
945,Downhole tool orientation in BHA is verified using:,Torque gauges,Gyro surveys,Drift tests,Sonic logging,B,DS-1
946,BHA components are torqued to specific values to:,Improve mud flow,Prevent connection back-off and fatigue,Reduce bit balling,Enable rotation,B,DS-1
947,Tool joint failures in BHA are most often caused by:,High fluid loss,Gall-resistant threading,Improper makeup torque,Overheated casing,C,DS-1
948,Reamers are best placed:,Below the bit,Immediately above the motor,At transition zones,Only at surface,C,DS-1
949,Wear grooves on stabilizer blades typically indicate:,Tool joint stretch,Rotational contact with borehole wall,Corrosion fatigue,Taper lock failure,B,DS-1
950,What is the primary objective of inspection per DS-1 Volume 4?,Detect material color changes,Reduce thread friction,Identify defects affecting operational integrity,Verify pipe length,C,DS-1
951,"According to DS-1 Volume 4, what type of inspection is mandatory for Category 4 drill pipe?",Visual inspection only,Magnetic particle inspection,Full-body ultrasonic inspection,Electromagnetic inspection with thread gauging,D,DS-1
952,Which NDT method is most effective for detecting surface-breaking cracks on tool joints?,Ultrasonic testing,Visual inspection,Radiographic inspection,Magnetic particle inspection,D,DS-1
953,A pipe is rejected during inspection if wall thickness loss exceeds:,10%,12.50%,15%,17%,B,DS-1
954,What is the function of a thread profile gauge in DS-1 inspections?,Measure pitch diameter,Inspect weld beads,Detect pitting,Calibrate torque value,A,DS-1
955,"In DS-1, visual inspection is always the first step because it:",Replaces all other inspections,Confirms pipe stiffness,Identifies obvious damage prior to advanced NDT,Assesses paint condition,C,DS-1
956,What is considered a rejectable defect in a box-end thread?,Minor galling,Rounded crest,Pitting exceeding 1/16 inch,Faded marking,C,DS-1
957,Which method is used to inspect internal ID corrosion on drill collars?,MPI,EMI,UT using ID probes,Dye Penetrant Testing,C,DS-1
958,Why is demagnetization required after EMI inspection?,To prevent electrical hazards,To avoid MWD tool interference,To improve paint bonding,To reduce pipe hardness,B,DS-1
959,DS-1 requires repair welding to be performed by:,Rig crew,IADC certified inspector,Qualified welder with approved procedures,Any third-party,C,DS-1
960,A tool joint is considered acceptable if its outer diameter wear is less than:,5%,10%,12.50%,15%,C,DS-1
961,"In repair procedures, the heat-affected zone (HAZ) is checked for:",Thread pitch,ID pitting,Cracking and metallurgical changes,Connection type,C,DS-1
962,The purpose of calibration in inspection equipment is to:,Speed up testing,Ensure accuracy and reliability of measurements,Measure pipe weight,Verify paint adhesion,B,DS-1
963,What type of thread damage is considered non-repairable under DS-1?,Surface rust,Lead start crack,Dirt inclusion,Chipping,B,DS-1
964,DS-1 categorizes EMI inspection primarily for detection of:,Color variation,Transverse and longitudinal flaws,ID coatings,Casing buckling,B,DS-1
965,Re-cutting threads is allowed under DS-1 if:,Gauging fails by >0.005 in,Material hardness is reduced,Connection faces are flat,Minimum thread count is maintained,D,DS-1
966,What does DS-1 require before returning a repaired pipe to service?,Re-hardbanding,Ultrasonic testing,Full recertification,Lubrication,C,DS-1
967,A Category 2 inspection per DS-1 includes:,Visual only,EMI plus visual thread inspection,Thread repair,Hydrostatic test,B,DS-1
968,Magnetic particle inspection requires surface preparation to:,Enhance lubrication,Ensure contrast and visibility of indications,Increase hardness,Prevent corrosion,B,DS-1
969,"According to DS-1, the maximum allowed taper mismatch for tool joints is:",0.001 in/in,0.005 in/in,0.010 in/in,0.025 in/in,C,DS-1
970,Who is authorized to interpret MPI results under DS-1?,Tool pusher,Rig floor technician,Certified Level II inspector,Welder,C,DS-1
971,A pipe body with deep ID pitting is typically:,Monitored,Re-run,Rejected,Filed and reused,C,DS-1
972,"During EMI, calibration standards must be checked:",Daily,Weekly,Before each inspection shift,Only when defects are found,C,DS-1
973,What does a successful MPI test show?,Uniform black surface,Indications of ferromagnetic density,"Clear, sharp contrast indications at flaws",Thread profile image,C,DS-1
974,"After thread repair, DS-1 mandates:",Heat treatment,Third-party verification,Thread gauging and visual inspection,MPI testing,C,DS-1
975,"According to DS-1 Volume 4, what is the primary concern during hardbanding repair?",Color of weld,Pipe rotation,Avoiding dilution of base metal,Torque rating,C,DS-1
976,Thread compound should be removed prior to which inspection method?,Ultrasonic,EMI,MPI,Visual,C,DS-1
977,What defect type is MPI most suited to detect in repaired tool joints?,Internal corrosion,Surface-breaking cracks,Wall thinning,Taper wear,B,DS-1
978,DS-1 requires pipe traceability records to include:,Thread color,Operator signature only,Serial number and full inspection history,Mud weight,C,DS-1
979,A common reason for ultrasonic inspection failure in repaired pipes is:,EMI interference,Wall roughness from grinding,Incorrect hardband type,Pipe dope contamination,B,DS-1
980,"According to DS-1, when must a pipe be fully recertified?",After third trip,After any repair involving weld,"After exceeding 10,000 ft",Following visual inspection,B,DS-1
981,"For a pipe to pass a Category 3 inspection, it must:",Undergo UT and EMI,Be rethreaded,Be inspected for burst pressure,Receive a corrosion inhibitor,A,DS-1
982,Why is drift testing used after pipe repair in DS-1?,To remove rust,To ensure internal clearance,To balance thread weight,To inspect the box taper,B,DS-1
983,What does a thread lead mismatch indicate?,Corrosion fatigue,Manufacturing inconsistency,Improper alignment during repair,Excess WOB,C,DS-1
984,Repair welding of the tool joint should only occur if:,Visual defects are superficial,The joint was previously used in shallow wells,The procedure is qualified and approved,No coating is applied,C,DS-1
985,"After EMI, what indicates a potential longitudinal crack?",Circular signal,Thread runout,Linear indication parallel to axis,No magnetic field shift,C,DS-1
986,The 'wobble effect' during EMI inspection typically indicates:,Operator error,Bent pipe,Pipe hardness variation,Inconsistent lubricant,B,DS-1
987,"When re-cutting threads, DS-1 requires verification of:",Hardness below 50 HRC,Minimum remaining wall thickness,Tool length,Box depth,B,DS-1
988,"In DS-1, what must be done if MPI reveals a linear flaw at the thread root?",Polish the area,Pass the pipe,Reject or repair per qualified procedure,Ignore if under 1/16”,C,DS-1
989,Which of the following invalidates EMI inspection results?,Low ambient temperature,Residual magnetism >2 Gauss,Tool joint beveling,Thread galling,B,DS-1
990,DS-1 Volume 4 requires which of the following after re-hardbanding?,Thread re-cut,Thread compound removal,Visual inspection and dimensional check,Paint removal,C,DS-1
991,The allowable taper tolerance on tool joints is verified using:,Thread runout gauge,Optical comparator,API ring and plug gauges,UT device,C,DS-1
992,"According to DS-1, what is the final step in an accepted repair?",Welding again,Thread coating,Issuing traceable inspection report,Thread dope application,C,DS-1
993,Which procedure ensures repeatable MPI results?,Fluorescent dye reuse,Background paint,Consistent magnetization technique and proper surface prep,High-temperature testing,C,DS-1
994,Cracks at the thread root are more critical because they:,Indicate visual wear,Can be painted over,Propagate under fatigue loading,Are caused by rust,C,DS-1
995,"According to DS-1, magnetic permeability must be checked after:",Re-cutting,Thread dope application,Non-mag tool repair,MPI,C,DS-1
996,Wall thickness measurement is considered reliable only if:,Two different tools are used,Calibration block is verified before testing,Pipe was dry,Surface is painted,B,DS-1
997,What is the risk of inadequate demagnetization after inspection?,Thread galling,Reduced torque,MWD tool interference,Corrosion fatigue,C,DS-1
998,DS-1 requires thread gauging after which event?,Thread dope application,Pressure testing,Thread re-cutting or repair,Cleaning,C,DS-1
999,"In DS-1, what’s the maximum allowed thread wear before re-cutting is prohibited?",50% of profile height,25% of root depth,10% of crest length,75% of taper angle,A,DS-1
1000,"According to DS-1 Volume 5, the primary purpose of training programs is to:",Reduce rig time,Ensure personnel competence in inspection and handling,Improve vendor contracts,Limit certification costs,B,DS-1
1001,What is required for a Level II inspector under DS-1 Volume 5?,Fluorescent badge,10 years’ experience,Formal NDT training and certification,Supervisory license,C,DS-1
1002,Which type of training is emphasized for EMI operators?,Safety only,Visual inspection,Electromagnetic theory and flaw interpretation,Accounting,C,DS-1
